,playername,rating,rd,kills,deaths,assists,earned gpm
79,bless,1123.0099328911351,152.07164417601825,1.0,3.6153846153846154,2.6923076923076925,156.92047692307693
80,xiye,1584.3578101766245,75.72949890939454,3.481818181818182,2.6454545454545455,5.5181818181818185,267.62364454545457
81,Mark,1572.1342313600298,70.43782320389607,0.66,2.8533333333333335,7.473333333333334,100.84915933333333
82,Ale,1460.8910914806459,89.79758897215682,2.982142857142857,2.7857142857142856,3.857142857142857,266.50699464285714
83,xiaopeng,1363.8513315390915,77.63700178309759,2.617021276595745,3.4361702127659575,5.872340425531915,201.0760606382979
84,y4,1348.9423012978089,90.32298114983563,2.90625,2.671875,4.3125,243.152740625
85,xiaohan,935.6296919807952,134.44532029062827,2.0454545454545454,4.090909090909091,3.9545454545454546,174.6574681818182
86,Mole,1543.0800926272052,73.1883246743384,2.85,2.941666666666667,4.958333333333333,243.876265
87,poge,1525.061191832035,87.56220825461335,0.6712328767123288,3.0821917808219177,7.287671232876712,108.41519726027397
88,Aliez,1321.7588062102761,82.44743052686036,2.7848101265822787,3.481012658227848,4.493670886075949,240.71042405063292
89,Hope,1675.7321031886163,65.43274736553877,4.4963503649635035,2.372262773722628,5.795620437956204,300.80297153284675
90,JieJie,1718.5110473998159,63.67415503633338,2.5942028985507246,1.9492753623188406,7.869565217391305,208.58932898550722
91,Scout,1707.003544843303,56.11835294485985,3.617142857142857,1.9428571428571428,5.64,276.4504977142857
92,Meiko,1709.270367882785,63.12588281564362,0.7865853658536586,2.6280487804878048,8.859756097560975,105.8613237804878
93,Jinoo,1663.7571380454654,128.89017260254076,1.9285714285714286,2.4285714285714284,6.0,220.21945714285715
94,clx,1569.9353631170563,75.03915120797909,2.823529411764706,2.9901960784313726,5.754901960784314,243.1637549019608
95,Crazy,1557.2775952525078,66.06881673963369,2.8555555555555556,2.7333333333333334,5.3,265.24259666666666
96,Weiwei,1676.8956808444968,58.53655506221275,2.736842105263158,2.324561403508772,6.4035087719298245,216.37640350877192
97,SofM,1668.834873532137,69.91240894522355,2.412903225806452,2.6580645161290324,7.52258064516129,208.16851870967741
