,teamname,rating,rd,kills,deaths,assists,ckpm,team kpm
118,Immortals Academy,905.6466434185405,158.33493460021836,14.327956989247312,14.951612903225806,32.935483870967744,0.8866908602150537,0.4360209677419355
119,FlyQuest Academy,905.6466434185405,158.33493460021836,13.389830508474576,14.19774011299435,29.468926553672315,0.8578463276836158,0.41929943502824857
120,CLG Academy,922.3773531106986,162.44332042553603,13.696629213483146,14.51685393258427,29.55056179775281,0.8832056179775281,0.4304595505617977
121,Golden Guardians Academy,897.9909201414451,156.51098220248585,14.523809523809524,14.154761904761905,32.54761904761905,0.943786507936508,0.4801746031746032
122,100 Thieves Academy,897.9573143011291,156.70245995159397,15.342222222222222,13.724444444444444,33.50666666666667,0.9047617777777778,0.47737333333333337
123,paiN Gaming,818.6997521585897,137.0226735647987,14.547325102880658,12.572016460905349,34.98765432098765,0.8266489711934156,0.4469958847736626
124,Flamengo Esports,933.0529813087273,166.07702513252804,14.434782608695652,14.923913043478262,33.72826086956522,0.8833391304347826,0.4349358695652174
125,Prodigy Esports,1061.6885809372386,202.5073437211262,14.829787234042554,13.829787234042554,34.51063829787234,0.8517234042553191,0.439768085106383
126,Vivo Keyd,1041.2428454072983,196.46276087523808,13.822222222222223,16.644444444444446,29.8,0.9280844444444445,0.41568222222222223
127,INTZ,848.8403852092928,143.84539416419312,12.772222222222222,15.188888888888888,30.32777777777778,0.847311111111111,0.3849516666666667
128,Redemption eSports Porto Alegre,1085.4781970966312,209.8406336922611,12.805555555555555,16.055555555555557,28.38888888888889,0.8729222222222223,0.3828388888888889
129,FURIA,843.165883800656,142.2852507040608,12.745945945945946,13.864864864864865,29.9027027027027,0.788054054054054,0.37650594594594594
130,KaBuM! e-Sports,913.8709417185887,160.7277075536646,15.671875,13.78125,36.03125,0.90475078125,0.48666015625
131,Cloud9,809.8068895896332,134.884994524929,14.075987841945288,11.006079027355623,32.86322188449848,0.7899148936170213,0.44994893617021275
132,Team Liquid,823.5021934584689,138.01987362820998,13.079470198675496,10.97019867549669,31.59933774834437,0.7391940397350993,0.41351192052980135
133,Counter Logic Gaming,904.102795048696,157.2433442555751,11.293706293706293,14.272727272727273,26.174825174825173,0.7456342657342657,0.3200265734265734
134,Dignitas,860.3314597722176,145.7998681452783,10.283333333333333,13.144444444444444,24.677777777777777,0.7135077777777777,0.30894611111111114
135,100 Thieves,828.3224626149304,139.0625472520542,12.494296577946768,12.144486692015208,30.250950570342205,0.7489053231939163,0.37764980988593155
136,Golden Guardians,849.3907946544252,143.8052851321344,11.14018691588785,13.126168224299066,25.845794392523363,0.7475327102803738,0.34360607476635513
137,Immortals,866.7240017374157,147.42501339887355,9.35897435897436,13.275641025641026,21.98076923076923,0.6894532051282051,0.2795358974358974
138,FlyQuest,843.5714845370048,142.64079648319697,12.360869565217392,12.256521739130434,29.51304347826087,0.7415521739130434,0.37024391304347826
139,RAMS,1190.9334120795972,244.88112217387405,12.882352941176471,17.823529411764707,27.11764705882353,0.8592941176470589,0.3482176470588235
140,eSuba,838.0052709318949,141.2344657025321,16.29317269076305,15.08433734939759,36.53012048192771,1.0134967871485945,0.5301429718875501
141,Team Sampi,911.2167927035729,158.14590214250987,16.278260869565216,13.304347826086957,35.04347826086956,0.9813504347826086,0.5445339130434783
142,Flayn eSports CZSK Edition,1190.9334120795972,244.88112217387405,14.0,16.470588235294116,32.0,0.9923411764705881,0.4491588235294118
143,Cyber Gaming,1061.6885809372386,202.5073437211262,14.839285714285714,15.625,32.44642857142857,0.974375,0.478075
144,Inside Games,873.1709409750002,148.70847856504344,13.860294117647058,16.426470588235293,30.985294117647058,0.9780433823529412,0.4383955882352941
145,Vikingekrig Esports,1022.136348128402,190.4246044804737,14.915254237288135,16.440677966101696,31.406779661016948,0.9564440677966102,0.45131355932203393
146,BRUTE,879.3532186265872,149.98558707917928,12.2265625,15.8984375,27.4609375,0.8977578125,0.37506953125
147,Evil Geniuses,850.0948218390795,144.2499788629723,13.258992805755396,12.158273381294965,31.384892086330936,0.7849845323741007,0.4100870503597122
148,TSM,850.4593070476076,144.86306459812909,11.650442477876107,12.61504424778761,28.26991150442478,0.7295924778761061,0.3462269911504425
149,Giants,814.8920957771168,136.6299914723853,13.36697247706422,11.775229357798166,32.11926605504587,0.7784036697247707,0.4146339449541284
150,BCN Squad,1005.7269747156854,185.65386290425772,11.964285714285714,14.089285714285714,27.517857142857142,0.7761357142857143,0.35256607142857144
151,ŠAIM SE SuppUp,978.4105155048063,178.5298542848006,14.831168831168831,10.896103896103897,33.883116883116884,0.8248831168831169,0.4813467532467532
152,WarKidZ E-Sports,1190.9334120795972,244.88112217387405,14.333333333333334,12.866666666666667,31.133333333333333,0.8601866666666667,0.48169333333333336
153,Crvena zvezda Esports,860.6489135386677,146.03401954026782,14.551136363636363,14.272727272727273,32.97159090909091,0.9081085227272727,0.4591096590909091
154,Elementaries Esport Club,1190.9334120795972,244.88112217387405,14.352941176470589,12.352941176470589,28.58823529411765,0.8388882352941176,0.4608058823529412
155,ŠAIM SE,1190.9334120795972,244.88112217387405,15.9,10.1,33.2,0.829915,0.523295
156,Level Up esports,1190.9334120795972,244.88112217387405,8.461538461538462,19.384615384615383,14.461538461538462,0.8801538461538462,0.2574230769230769
157,Upper Echelon,1190.9334120795972,244.88112217387405,10.857142857142858,13.928571428571429,25.5,0.8209357142857143,0.3476214285714286
158,WiLD MultiGaming,1190.9334120795972,244.88112217387405,8.0,18.0,15.357142857142858,0.9636785714285715,0.2852571428571428
159,AGO ROGUE,876.6381109355874,151.73892005774255,16.788888888888888,11.71111111111111,36.62777777777778,0.9041872222222223,0.5456066666666667
